Address 1,Address 2,Address 3,Country,Full Address,Asset Description,"Additional Asset
Description","Number of
Completed Units",Receiver's Firm,Receiver's Firm Web Address
Ryhope Street South,,Sunderland SR2 0RW,Great Britain,"Ryhope Street South, Sunderland SR2 0RW, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Riverside Walk,"Old Shoreham Road,
Shoreham by Sea",Sussex,Great Britain,"Riverside Walk, Old Shoreham Road,
Shoreham by Sea, Sussex, Great Britain",Development - Not Commenced,,,Begbies Traynor (Central) LLP,www.begbiestraynor.com
St Pauls Road,Rock Ferry,Wirral CH42 3UZ,Great Britain,"St Pauls Road, Rock Ferry, Wirral CH42 3UZ, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
"St Benedicts RC High
School",New Hey Road,Wirral CH49 9BZ,Great Britain,"St Benedicts RC High
School, New Hey Road, Wirral CH49 9BZ, Great Britain",Development - Not Commenced,,,MCR,www.mcr.uk.com
Park Lane,Fallings Park,Wolverhampton,Great Britain,"Park Lane, Fallings Park, Wolverhampton, Great Britain",Industrial,,Multiple,BDO LLP,www.bdo.co.uk
New Bank Street,,Worcester WR3 8AN,Great Britain,"New Bank Street, Worcester WR3 8AN, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Vale Park West,Evesham,Worcestershire,Great Britain,"Vale Park West, Evesham, Worcestershire, Great Britain",Industrial,,Multiple,BDO LLP,www.bdo.uk.com
Common End,Distington,"Workington CA14
5XT",Great Britain,"Common End, Distington, Workington CA14
5XT, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Abenbury Road,Kings Mills,Wrexham LL13 0NT,Great Britain,"Abenbury Road, Kings Mills, Wrexham LL13 0NT, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Lindsey Avenue,Accomb,York YO26 4RL,Great Britain,"Lindsey Avenue, Accomb, York YO26 4RL, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
